station,variable,year,month,month_num,value
Astore,max_temp,1997,April,4,16.7
Astore,max_temp,1997,May,5,18.8
Astore,max_temp,1997,June,6,24.5
Astore,max_temp,1997,July,7,29.4
Astore,max_temp,1997,August,8,26.5
Astore,max_temp,1997,September,9,24.0
Astore,max_temp,1997,October,10,17.2
Astore,max_temp,1997,November,11,10.0
Astore,max_temp,1997,December,12,4.2
Astore,max_temp,1998,January,1,2.3
Astore,max_temp,1998,February,2,3.9
Astore,max_temp,1998,March,3,8.4
Astore,max_temp,1998,April,4,16.7
Astore,max_temp,1998,May,5,19.6
Astore,max_temp,1998,June,6,22.3
Astore,max_temp,1998,July,7,28.3
Astore,max_temp,1998,August,8,27.6
Astore,max_temp,1998,September,9,23.7
Astore,max_temp,1998,October,10,20.0
Astore,max_temp,1998,November,11,14.7
Astore,max_temp,1998,December,12,9.7
Astore,max_temp,1999,January,1,3.7
Astore,max_temp,1999,February,2,5.5
Astore,max_temp,1999,March,3,8.0
Astore,max_temp,1999,April,4,14.6
Astore,max_temp,1999,May,5,20.9
Astore,max_temp,1999,June,6,24.2
Astore,max_temp,1999,July,7,27.6
Astore,max_temp,1999,August,8,25.0
Astore,max_temp,1999,September,9,24.9
Astore,max_temp,1999,October,10,18.4
Astore,max_temp,1999,November,11,10.2
Astore,max_temp,1999,December,12,8.4
Astore,max_temp,2000,January,1,3.6
Astore,max_temp,2000,February,2,2.9
Astore,max_temp,2000,March,3,9.5
Astore,max_temp,2000,April,4,17.5
Astore,max_temp,2000,May,5,24.9
Astore,max_temp,2000,June,6,25.3
Astore,max_temp,2000,July,7,26.4
Astore,max_temp,2000,August,8,26.5
Astore,max_temp,2000,September,9,23.9
Astore,max_temp,2000,October,10,19.8
Astore,max_temp,2000,November,11,12.1
Astore,max_temp,2000,December,12,5.7
Astore,max_temp,2001,January,1,5.5
Astore,max_temp,2001,February,2,8.5
Astore,max_temp,2001,March,3,12.6
Astore,max_temp,2001,April,4,17.4
Astore,max_temp,2001,May,5,24.7
Astore,max_temp,2001,June,6,26.1
Astore,max_temp,2001,July,7,27.7
Astore,max_temp,2001,August,8,27.5
Astore,max_temp,2001,September,9,21.7
Astore,max_temp,2001,October,10,19.9
Astore,max_temp,2001,November,11,10.0
Astore,max_temp,2001,December,12,4.9
Astore,max_temp,2002,January,1,3.0
Astore,max_temp,2002,February,2,4.5
Astore,max_temp,2002,March,3,10.6
Astore,max_temp,2002,April,4,14.3
Astore,max_temp,2002,May,5,21.2
Astore,max_temp,2002,June,6,24.7
Astore,max_temp,2002,July,7,25.6
Astore,max_temp,2002,August,8,27.7
Astore,max_temp,2002,September,9,21.5
Astore,max_temp,2002,October,10,19.3
Astore,max_temp,2002,November,11,13.3
Astore,max_temp,2002,December,12,6.7
Astore,max_temp,2003,January,1,5.9
Astore,max_temp,2003,February,2,4.9
Astore,max_temp,2003,March,3,7.5
Astore,max_temp,2003,April,4,15.3
Astore,max_temp,2003,May,5,16.7
Astore,max_temp,2003,June,6,25.0
Astore,max_temp,2003,July,7,28.2
Astore,max_temp,2003,August,8,25.7
Astore,max_temp,2003,September,9,22.1
Astore,max_temp,2003,October,10,17.5
Astore,max_temp,2003,November,11,11.1
Astore,max_temp,2003,December,12,4.5
Astore,max_temp,2004,January,1,2.8
Astore,max_temp,2004,February,2,5.0
Astore,max_temp,2004,March,3,13.3
Astore,max_temp,2004,April,4,16.7
Astore,max_temp,2004,May,5,21.2
Astore,max_temp,2004,June,6,23.7
Astore,max_temp,2004,July,7,26.1
Astore,max_temp,2004,August,8,25.3
Astore,max_temp,2004,September,9,24.5
Astore,max_temp,2004,October,10,15.8
Astore,max_temp,2004,November,11,12.4
Astore,max_temp,2004,December,12,7.2
Astore,max_temp,2005,January,1,1.7
Astore,max_temp,2005,February,2,2.7
Astore,max_temp,2005,March,3,10.4
Astore,max_temp,2005,April,4,13.8
Astore,max_temp,2005,May,5,18.0
Astore,max_temp,2005,June,6,25.0
Astore,max_temp,2005,July,7,26.4
Astore,max_temp,2005,August,8,27.1
Astore,max_temp,2005,September,9,25.0
Astore,max_temp,2005,October,10,17.6
Astore,max_temp,2005,November,11,10.9
Astore,max_temp,2005,December,12,3.8
Astore,max_temp,2006,January,1,1.7
Astore,max_temp,2006,February,2,8.5
Astore,max_temp,2006,March,3,10.7
Astore,max_temp,2006,April,4,14.8
Astore,max_temp,2006,May,5,24.5
Astore,max_temp,2006,June,6,24.4
Astore,max_temp,2006,July,7,29.3
Astore,max_temp,2006,August,8,26.1
Astore,max_temp,2006,September,9,23.3
Astore,max_temp,2006,October,10,18.8
Astore,max_temp,2006,November,11,11.2
Astore,max_temp,2006,December,12,4.1
Astore,max_temp,2007,January,1,4.4
Astore,max_temp,2007,February,2,8.3
Astore,max_temp,2007,March,3,10.1
Astore,max_temp,2007,April,4,20.6
Astore,max_temp,2007,May,5,22.5
Astore,max_temp,2007,June,6,26.0
Astore,max_temp,2007,July,7,27.0
Astore,max_temp,2007,August,8,26.8
Astore,max_temp,2007,September,9,23.6
Astore,max_temp,2007,October,10,18.5
Astore,max_temp,2007,November,11,14.3
Astore,max_temp,2007,December,12,6.5
Astore,max_temp,2008,January,1,1.1
Astore,max_temp,2008,February,2,3.7
Astore,max_temp,2008,March,3,14.2
Astore,max_temp,2008,April,4,16.6
Astore,max_temp,2008,May,5,22.7
Astore,max_temp,2008,June,6,28.4
Astore,max_temp,2008,July,7,28.0
Astore,max_temp,2008,August,8,27.3
Astore,max_temp,2008,September,9,21.9
Astore,max_temp,2008,October,10,19.3
Astore,max_temp,2008,November,11,12.6
Astore,max_temp,2008,December,12,5.0
Astore,max_temp,2009,January,1,2.4
Astore,max_temp,2009,February,2,4.3
Astore,max_temp,2009,March,3,9.3
Astore,max_temp,2009,April,4,14.1
Astore,max_temp,2009,May,5,20.9
Astore,max_temp,2009,June,6,22.9
Astore,max_temp,2009,July,7,26.7
Astore,max_temp,2009,August,8,28.4
Astore,max_temp,2009,September,9,23.1
Astore,max_temp,2009,October,10,16.9
Astore,max_temp,2009,November,11,11.0
Astore,max_temp,2009,December,12,5.6
Astore,max_temp,2010,January,1,6.9
Astore,max_temp,2010,February,2,4.4
Astore,max_temp,2010,March,3,13.2
Astore,max_temp,2010,April,4,16.1
Astore,max_temp,2010,May,5,18.8
Astore,max_temp,2010,June,6,22.9
Astore,max_temp,2010,July,7,25.7
Astore,max_temp,2010,August,8,24.9
Astore,max_temp,2010,September,9,22.2
Astore,max_temp,2010,October,10,19.3
Astore,max_temp,2010,November,11,14.9
Astore,max_temp,2010,December,12,8.0
Astore,max_temp,2011,January,1,4.4161
Astore,max_temp,2011,February,2,4.4429
Astore,max_temp,2011,March,3,9.3581
Astore,max_temp,2011,April,4,15.227
Astore,max_temp,2011,May,5,23.423
Astore,max_temp,2011,June,6,26.713
Astore,max_temp,2011,July,7,25.187
Astore,max_temp,2011,August,8,27.29
Astore,max_temp,2011,September,9,22.063
Astore,max_temp,2011,October,10,16.826
Astore,max_temp,2011,November,11,12.7
Astore,max_temp,2011,December,12,7.0935
Astore,max_temp,2012,January,1,2.7419
Astore,max_temp,2012,February,2,3.7034
Astore,max_temp,2012,March,3,8.1419
Astore,max_temp,2012,April,4,16.133
Astore,max_temp,2012,May,5,19.2
Astore,max_temp,2012,June,6,22.963
Astore,max_temp,2012,July,7,27.516
Astore,max_temp,2012,August,8,27.71
Astore,max_temp,2012,September,9,22.027
Astore,max_temp,2012,October,10,16.023
Astore,max_temp,2012,November,11,11.633
Astore,max_temp,2012,December,12,5.1
Astore,max_temp,2013,January,1,2.3581
Astore,max_temp,2013,February,2,5.5429
Astore,max_temp,2013,March,3,11.306
Astore,max_temp,2013,April,4,16.877
Astore,max_temp,2013,May,5,18.977
Astore,max_temp,2013,June,6,26.61
Astore,max_temp,2013,July,7,29.332
Astore,max_temp,2013,August,8,27.41
Astore,max_temp,2013,September,9,24.277
Astore,max_temp,2013,October,10,20.51
Astore,max_temp,2013,November,11,11.59
Astore,max_temp,2013,December,12,7.0613
Astore,max_temp,2014,January,1,2.929
Astore,max_temp,2014,February,2,4.2571
Astore,max_temp,2014,March,3,8.6767
Astore,max_temp,2014,April,4,14.67
Astore,max_temp,2014,May,5,20.687
Astore,max_temp,2014,June,6,25.47
Astore,max_temp,2014,July,7,27.768
Astore,max_temp,2014,August,8,26.503
Astore,max_temp,2014,September,9,22.993
Astore,max_temp,2014,October,10,16.903
Astore,max_temp,2014,November,11,11.977
Astore,max_temp,2014,December,12,7.2419
Astore,max_temp,2015,January,1,5.6742
Astore,max_temp,2015,February,2,6.8893
Astore,max_temp,2015,March,3,9.971
Astore,max_temp,2015,April,4,17.3
Astore,max_temp,2015,May,5,20.716
Astore,max_temp,2015,June,6,23.262
Astore,max_temp,2015,July,7,27.9
Astore,max_temp,2015,August,8,23.85
Astore,max_temp,2015,September,9,24.5
Astore,max_temp,2015,October,10,4.8226
Astore,max_temp,2015,November,11,10.281
Astore,max_temp,2015,December,12,6.0714
Astore,max_temp,2016,January,1,5.181
Astore,max_temp,2016,February,2,8.6172
Astore,max_temp,2016,March,3,12.833
Astore,max_temp,2016,April,4,15.603
Astore,max_temp,2016,May,5,22.081
Astore,max_temp,2016,June,6,26.655
Astore,max_temp,2016,July,7,26.952
Astore,max_temp,2016,August,8,25.065
Astore,max_temp,2016,September,9,24.2
Astore,max_temp,2016,October,10,19.419
Astore,max_temp,2016,November,11,12.917
Astore,max_temp,2016,December,12,9.6129
Astore,max_temp,2017,January,1,3.1129
Astore,max_temp,2017,February,2,5.6214
Astore,max_temp,2017,March,3,9.3871
Astore,max_temp,2017,April,4,15.113
Astore,max_temp,2017,May,5,22.845
Astore,max_temp,2017,June,6,25.227
Astore,max_temp,2017,July,7,27.839
Astore,max_temp,2017,August,8,26.871
Astore,max_temp,2017,September,9,23.55
Astore,max_temp,2017,October,10,19.245
Astore,max_temp,2017,November,11,12.983
Astore,max_temp,2017,December,12,6.3258
Astore,max_temp,2018,January,1,4.5
Astore,max_temp,2018,February,2,8.2
Astore,max_temp,2018,March,3,13.0
Astore,max_temp,2018,April,4,17.8
Astore,max_temp,2018,May,5,20.2
Astore,max_temp,2018,June,6,25.4
Astore,max_temp,2018,July,7,27.0
